ProductKey,StandardCost,Color,Subcategory,Category
453,$24.75 ,Black,Shorts,Clothing
454,$24.75 ,Black,Shorts,Clothing
455,$24.75 ,Black,Shorts,Clothing
456,$30.93 ,Black,Tights,Clothing
457,$30.93 ,Black,Tights,Clothing
458,$30.93 ,Black,Tights,Clothing
462,$9.71 ,Black,Gloves,Clothing
463,$9.16 ,Black,Gloves,Clothing
464,$9.71 ,Black,Gloves,Clothing
465,$9.16 ,Black,Gloves,Clothing
466,$9.71 ,Black,Gloves,Clothing
467,$9.16 ,Black,Gloves,Clothing
468,$15.67 ,Black,Gloves,Clothing
469,$15.67 ,Black,Gloves,Clothing
470,$15.67 ,Black,Gloves,Clothing
474,$26.18 ,Black,Shorts,Clothing
475,$26.18 ,Black,Shorts,Clothing
476,$26.18 ,Black,Shorts,Clothing
531,$136.79 ,Black,Mountain Frames,Components
532,$136.79 ,Black,Mountain Frames,Components
533,$136.79 ,Black,Mountain Frames,Components
534,$136.79 ,Black,Mountain Frames,Components
550,$136.79 ,Black,Mountain Frames,Components
584,$343.65 ,Black,Road Bikes,Bikes
596,$294.58 ,Black,Mountain Bikes,Bikes
597,$294.58 ,Black,Mountain Bikes,Bikes
598,$294.58 ,Black,Mountain Bikes,Bikes
599,$294.58 ,Black,Mountain Bikes,Bikes
600,$294.58 ,Black,Mountain Bikes,Bikes
604,$343.65 ,Black,Road Bikes,Bikes
605,$343.65 ,Black,Road Bikes,Bikes
606,$343.65 ,Black,Road Bikes,Bikes
211,$868.63 ,Red,Road Frames,Components
212,$12.03 ,Red,Helmets,Accessories
213,$13.88 ,Red,Helmets,Accessories
214,$13.09 ,Red,Helmets,Accessories
220,$12.03 ,Blue,Helmets,Accessories
218,$3.40 ,White,Socks,Clothing
219,$3.40 ,White,Socks,Clothing
221,$13.88 ,Blue,Helmets,Accessories
222,$13.09 ,Blue,Helmets,Accessories
226,$31.72 ,Multi,Jerseys,Clothing
227,$29.08 ,Multi,Jerseys,Clothing
228,$38.49 ,Multi,Jerseys,Clothing
229,$31.72 ,Multi,Jerseys,Clothing
230,$29.08 ,Multi,Jerseys,Clothing
231,$38.49 ,Multi,Jerseys,Clothing
232,$31.72 ,Multi,Jerseys,Clothing
233,$29.08 ,Multi,Jerseys,Clothing
234,$38.49 ,Multi,Jerseys,Clothing
235,$31.72 ,Multi,Jerseys,Clothing
236,$29.08 ,Multi,Jerseys,Clothing
237,$38.49 ,Multi,Jerseys,Clothing
238,$747.97 ,Red,Road Frames,Components
239,$722.26 ,Red,Road Frames,Components
240,$868.63 ,Red,Road Frames,Components
241,$747.97 ,Red,Road Frames,Components
242,$722.26 ,Red,Road Frames,Components
243,$868.63 ,Red,Road Frames,Components
244,$747.97 ,Red,Road Frames,Components
245,$722.26 ,Red,Road Frames,Components
246,$868.63 ,Red,Road Frames,Components
247,$747.97 ,Red,Road Frames,Components
248,$722.26 ,Red,Road Frames,Components
249,$868.63 ,Red,Road Frames,Components
250,$747.97 ,Red,Road Frames,Components
251,$722.26 ,Red,Road Frames,Components
252,$868.63 ,Red,Road Frames,Components
262,$181.49 ,Red,Road Frames,Components
263,$187.16 ,Red,Road Frames,Components
264,$181.49 ,Red,Road Frames,Components
265,$187.16 ,Red,Road Frames,Components
266,$181.49 ,Red,Road Frames,Components
267,$187.16 ,Red,Road Frames,Components
268,$181.49 ,Red,Road Frames,Components
269,$187.16 ,Red,Road Frames,Components
270,$181.49 ,Red,Road Frames,Components
271,$187.16 ,Red,Road Frames,Components
272,$181.49 ,Red,Road Frames,Components
273,$187.16 ,Red,Road Frames,Components
274,$352.14 ,Red,Road Frames,Components
275,$352.14 ,Red,Road Frames,Components
276,$352.14 ,Red,Road Frames,Components
277,$352.14 ,Red,Road Frames,Components
278,$352.14 ,Red,Road Frames,Components
288,$623.84 ,Silver,Mountain Frames,Components
289,$660.91 ,Silver,Mountain Frames,Components
290,$747.20 ,Silver,Mountain Frames,Components
291,$706.81 ,Silver,Mountain Frames,Components
292,$706.81 ,Silver,Mountain Frames,Components
293,$623.84 ,Silver,Mountain Frames,Components
294,$660.91 ,Silver,Mountain Frames,Components
295,$747.20 ,Silver,Mountain Frames,Components
307,$623.84 ,Silver,Mountain Frames,Components
308,$660.91 ,Silver,Mountain Frames,Components
309,$747.20 ,Silver,Mountain Frames,Components
315,$884.71 ,Red,Road Bikes,Bikes
316,$884.71 ,Red,Road Bikes,Bikes
317,$884.71 ,Red,Road Bikes,Bikes
318,$884.71 ,Red,Road Bikes,Bikes
319,$884.71 ,Red,Road Bikes,Bikes
320,$413.15 ,Red,Road Bikes,Bikes
321,$486.71 ,Red,Road Bikes,Bikes
322,$413.15 ,Red,Road Bikes,Bikes
323,$486.71 ,Red,Road Bikes,Bikes
324,$413.15 ,Red,Road Bikes,Bikes
325,$486.71 ,Red,Road Bikes,Bikes
326,$413.15 ,Red,Road Bikes,Bikes
327,$486.71 ,Red,Road Bikes,Bikes
328,$413.15 ,Red,Road Bikes,Bikes
329,$486.71 ,Red,Road Bikes,Bikes
330,$413.15 ,Red,Road Bikes,Bikes
331,$486.71 ,Red,Road Bikes,Bikes
381,$605.65 ,Yellow,Road Bikes,Bikes
382,$713.08 ,Yellow,Road Bikes,Bikes
383,$605.65 ,Yellow,Road Bikes,Bikes
384,$713.08 ,Yellow,Road Bikes,Bikes
385,$605.65 ,Yellow,Road Bikes,Bikes
386,$713.08 ,Yellow,Road Bikes,Bikes
387,$605.65 ,Yellow,Road Bikes,Bikes
388,$713.08 ,Yellow,Road Bikes,Bikes
389,$605.65 ,Yellow,Road Bikes,Bikes
390,$713.08 ,Yellow,Road Bikes,Bikes
417,$300.12 ,Yellow,Road Frames,Components
418,$360.94 ,Yellow,Road Frames,Components
429,$300.12 ,Yellow,Road Frames,Components
430,$360.94 ,Yellow,Road Frames,Components
431,$300.12 ,Yellow,Road Frames,Components
432,$360.94 ,Yellow,Road Frames,Components
433,$300.12 ,Yellow,Road Frames,Components
434,$360.94 ,Yellow,Road Frames,Components
435,$300.12 ,Yellow,Road Frames,Components
436,$360.94 ,Yellow,Road Frames,Components
446,$51.56 ,Grey,Panniers,Accessories
459,$37.12 ,Multi,Bib-Shorts,Clothing
460,$37.12 ,Multi,Bib-Shorts,Clothing
461,$37.12 ,Multi,Bib-Shorts,Clothing
471,$23.75 ,Blue,Vests,Clothing
472,$23.75 ,Blue,Vests,Clothing
473,$23.75 ,Blue,Vests,Clothing
481,$3.36 ,White,Socks,Clothing
482,$3.36 ,White,Socks,Clothing
488,$41.57 ,Yellow,Jerseys,Clothing
489,$41.57 ,Yellow,Jerseys,Clothing
490,$41.57 ,Yellow,Jerseys,Clothing
491,$41.57 ,Yellow,Jerseys,Clothing
492,$601.74 ,Yellow,Touring Frames,Components
493,$199.85 ,Yellow,Touring Frames,Components
494,$601.74 ,Yellow,Touring Frames,Components
495,$601.74 ,Yellow,Touring Frames,Components
496,$601.74 ,Yellow,Touring Frames,Components
497,$601.74 ,Blue,Touring Frames,Components
498,$601.74 ,Blue,Touring Frames,Components
499,$601.74 ,Blue,Touring Frames,Components
500,$601.74 ,Blue,Touring Frames,Components
502,$199.85 ,Blue,Touring Frames,Components
503,$199.85 ,Blue,Touring Frames,Components
504,$199.85 ,Blue,Touring Frames,Components
505,$199.85 ,Blue,Touring Frames,Components
506,$199.85 ,Yellow,Touring Frames,Components
507,$199.85 ,Yellow,Touring Frames,Components
508,$199.85 ,Yellow,Touring Frames,Components
509,$199.85 ,Yellow,Touring Frames,Components
510,$199.85 ,Blue,Touring Frames,Components
511,$199.38 ,Silver,Mountain Frames,Components
512,$199.38 ,Silver,Mountain Frames,Components
513,$199.38 ,Silver,Mountain Frames,Components
524,$144.59 ,Silver,Mountain Frames,Components
525,$144.59 ,Silver,Mountain Frames,Components
526,$144.59 ,Silver,Mountain Frames,Components
527,$144.59 ,Silver,Mountain Frames,Components
549,$199.38 ,Silver,Mountain Frames,Components
551,$144.59 ,Silver,Mountain Frames,Components
560,$755.15 ,Blue,Touring Bikes,Bikes
565,$461.44 ,Blue,Touring Bikes,Bikes
566,$461.44 ,Blue,Touring Bikes,Bikes
567,$461.44 ,Blue,Touring Bikes,Bikes
568,$461.44 ,Yellow,Touring Bikes,Bikes
569,$461.44 ,Yellow,Touring Bikes,Bikes
570,$461.44 ,Yellow,Touring Bikes,Bikes
571,$461.44 ,Yellow,Touring Bikes,Bikes
572,$461.44 ,Yellow,Touring Bikes,Bikes
577,$755.15 ,Blue,Touring Bikes,Bikes
578,$755.15 ,Blue,Touring Bikes,Bikes
579,$755.15 ,Blue,Touring Bikes,Bikes
585,$461.44 ,Blue,Touring Bikes,Bikes
586,$461.44 ,Blue,Touring Bikes,Bikes
587,$419.78 ,Silver,Mountain Bikes,Bikes
588,$419.78 ,Silver,Mountain Bikes,Bikes
589,$419.78 ,Silver,Mountain Bikes,Bikes
590,$419.78 ,Silver,Mountain Bikes,Bikes
591,$308.22 ,Silver,Mountain Bikes,Bikes
592,$308.22 ,Silver,Mountain Bikes,Bikes
593,$308.22 ,Silver,Mountain Bikes,Bikes
594,$308.22 ,Silver,Mountain Bikes,Bikes
595,$308.22 ,Silver,Mountain Bikes,Bikes
